semester1,Institution1,Program,Degree_Level_Code,CIP,Program_status,ECount,GCount
2014-2015,Alice Lloyd College,Elementary Education and Teaching,B ,13.1202,A  ,51,5
2015-2016,Alice Lloyd College,Elementary Education and Teaching,B ,13.1202,A  ,52,6
2016-2017,Alice Lloyd College,Elementary Education and Teaching,B ,13.1202,A  ,48,5
2017-2018,Alice Lloyd College,Elementary Education and Teaching,B ,13.1202,A  ,58,6
2018-2019,Alice Lloyd College,Elementary Education and Teaching,B ,13.1202,A  ,48,4
2019-2020,Alice Lloyd College,Elementary Education and Teaching,B ,13.1202,A  ,55,8
2020-2021,Alice Lloyd College,Elementary Education and Teaching,B ,13.1202,A  ,46,4
2021-2022,Alice Lloyd College,Elementary Education and Teaching,B ,13.1202,A  ,102,7
2022-2023,Alice Lloyd College,Elementary Education and Teaching,B ,13.1202,A  ,41,3
2023-2024,Alice Lloyd College,Elementary Education and Teaching,B ,13.1202,A  ,53,12
2024-2025,Alice Lloyd College,Elementary Education and Teaching,B ,13.1202,A  ,64,
2014-2015,Alice Lloyd College,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,19,4
2015-2016,Alice Lloyd College,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,13,2
2016-2017,Alice Lloyd College,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,9,3
2017-2018,Alice Lloyd College,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,13,3
2018-2019,Alice Lloyd College,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,10,5
2019-2020,Alice Lloyd College,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,12,3
2020-2021,Alice Lloyd College,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,18,5
2021-2022,Alice Lloyd College,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,14,3
2022-2023,Alice Lloyd College,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,5,
2023-2024,Alice Lloyd College,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,8,
2024-2025,Alice Lloyd College,Junior High/Intermediate/Middle School Education and Teaching,B ,13.1203,A  ,9,
2014-2015,Alice Lloyd College,Mathematics Teacher Education,B ,13.1311,A  ,15,4
2015-2016,Alice Lloyd College,Mathematics Teacher Education,B ,13.1311,A  ,13,
2016-2017,Alice Lloyd College,Mathematics Teacher Education,B ,13.1311,A  ,20,
2017-2018,Alice Lloyd College,Mathematics Teacher Education,B ,13.1311,A  ,21,1
2018-2019,Alice Lloyd College,Mathematics Teacher Education,B ,13.1311,A  ,14,
2019-2020,Alice Lloyd College,Mathematics Teacher Education,B ,13.1311,A  ,10,
2020-2021,Alice Lloyd College,Mathematics Teacher Education,B ,13.1311,A  ,10,1
2021-2022,Alice Lloyd College,Mathematics Teacher Education,B ,13.1311,A  ,11,
2022-2023,Alice Lloyd College,Mathematics Teacher Education,B ,13.1311,A  ,9,
2023-2024,Alice Lloyd College,Mathematics Teacher Education,B ,13.1311,A  ,12,3
2024-2025,Alice Lloyd College,Mathematics Teacher Education,B ,13.1311,A  ,8,
2014-2015,Alice Lloyd College,Physical Education Teaching and Coaching,B ,13.1314,A  ,20,
2015-2016,Alice Lloyd College,Physical Education Teaching and Coaching,B ,13.1314,A  ,27,
2016-2017,Alice Lloyd College,Physical Education Teaching and Coaching,B ,13.1314,A  ,13,
2017-2018,Alice Lloyd College,Physical Education Teaching and Coaching,B ,13.1314,A  ,15,2
2018-2019,Alice Lloyd College,Physical Education Teaching and Coaching,B ,13.1314,A  ,3,
2019-2020,Alice Lloyd College,Physical Education Teaching and Coaching,B ,13.1314,A  ,2,
2020-2021,Alice Lloyd College,Physical Education Teaching and Coaching,B ,13.1314,A  ,1,1
2021-2022,Alice Lloyd College,Physical Education Teaching and Coaching,B ,13.1314,A  ,,
2022-2023,Alice Lloyd College,Physical Education Teaching and Coaching,B ,13.1314,A  ,,
2023-2024,Alice Lloyd College,Physical Education Teaching and Coaching,B ,13.1314,A  ,,
2024-2025,Alice Lloyd College,Physical Education Teaching and Coaching,B ,13.1314,A  ,,
2014-2015,Alice Lloyd College,Social Studies Teacher Education,B ,13.1318,A  ,12,1
2015-2016,Alice Lloyd College,Social Studies Teacher Education,B ,13.1318,A  ,13,
2016-2017,Alice Lloyd College,Social Studies Teacher Education,B ,13.1318,A  ,16,2
2017-2018,Alice Lloyd College,Social Studies Teacher Education,B ,13.1318,A  ,19,
2018-2019,Alice Lloyd College,Social Studies Teacher Education,B ,13.1318,A  ,15,
2019-2020,Alice Lloyd College,Social Studies Teacher Education,B ,13.1318,A  ,14,1
2020-2021,Alice Lloyd College,Social Studies Teacher Education,B ,13.1318,A  ,18,
2021-2022,Alice Lloyd College,Social Studies Teacher Education,B ,13.1318,A  ,15,3
2022-2023,Alice Lloyd College,Social Studies Teacher Education,B ,13.1318,A  ,23,2
2023-2024,Alice Lloyd College,Social Studies Teacher Education,B ,13.1318,A  ,13,
2024-2025,Alice Lloyd College,Social Studies Teacher Education,B ,13.1318,A  ,14,
2014-2015,Alice Lloyd College,Mathematics Teacher Education,U ,13.1311,A  ,,
2015-2016,Alice Lloyd College,Mathematics Teacher Education,U ,13.1311,A  ,,
